buff_cd,sub_catg,brand_name,brand_code,poi_cnt
buff0001,Amusement park ,OTHERS,0,3
buff0001,ATM,ABHYUDAYA CO-OPERATIVE BANK,357800001,2
buff0001,ATM,ANDHRA BANK,357800004,2
buff0001,ATM,AXIS BANK,357800005,13
buff0001,ATM,BANDHAN BANK,357800006,1
buff0001,ATM,BANK OF BARODA,357800007,6
buff0001,ATM,BANK OF INDIA,357800008,10
buff0001,ATM,BANK OF MAHARASHTRA,357800009,3
buff0001,ATM,BHARAT CO OPERATIVE BANK,357800010,2
buff0001,ATM,CANARA BANK,357800011,7
buff0001,ATM,CATHOLIC SYRIAN BANK,357800012,1
buff0001,ATM,CENTRAL BANK OF INDIA,357800013,1
buff0001,ATM,CITIBANK,357800014,2
buff0001,ATM,CORPORATION BANK,357800016,2
buff0001,ATM,COSMOS BANK,357800017,1
buff0001,ATM,DENA BANK,357800020,4
buff0001,ATM,DHANLAXMI BANK,357800022,2
buff0001,ATM,FEDERAL BANK,357800023,1
buff0001,ATM,HDFC BANK,357800024,13
buff0001,ATM,HSBC,357800025,1
buff0001,ATM,ICICI BANK,357800026,16
buff0001,ATM,IDBI BANK,357800027,4
buff0001,ATM,IDFC FIRST BANK,357800028,1
buff0001,ATM,INDIAN BANK,357800029,2
buff0001,ATM,INDUSIND BANK,357800032,6
buff0001,ATM,KARNATAKA BANK,357800036,5
buff0001,ATM,KARUR VYSYA BANK,357800037,1
buff0001,ATM,KOTAK MAHINDRA,357800065,1
buff0001,ATM,KOTAK MAHINDRA BANK,357800038,9
buff0001,ATM,MAHANAGAR CO-OPERATIVE BANK,357800040,1
buff0001,ATM,NORTH KANARA GSB CO OPERATIVE BANK,357800041,2
buff0001,ATM,ORIENTAL BANK OF COMMERCE,357800042,1
buff0001,ATM,OTHERS,0,18
buff0001,ATM,PUNJAB NATIONAL BANK,357800045,2
buff0001,ATM,SARASWAT BANK,357800049,1
buff0001,ATM,SHAMRAO VITHAL CO-OPERATIVE BANK,357800050,1
buff0001,ATM,STATE BANK OF INDIA,357800053,15
buff0001,ATM,SYNDICATE BANK,357800054,1
buff0001,ATM,TAMILNAD MERCANTILE BANK,357800055,1
buff0001,ATM,THANE JANATA SAHAKARI BANK,357800056,3
buff0001,ATM,UCO BANK,357800058,2
buff0001,ATM,UNION BANK OF INDIA,357800059,3
buff0001,ATM,YES BANK,357800061,3
buff0001,Auto Dealership,FIAT,551100170,1
buff0001,Auto Dealership,FORD,551100172,1
buff0001,Auto Dealership,MARUTI SUZUKI,551100183,2
buff0001,Auto Dealership,OTHERS,0,16
buff0001,Auto Dealership,TATA,551100194,1
buff0001,Auto Dealership-Used Cars,OTHERS,0,17
buff0001,Auto service and maintenance,ASHOK LEYLAND,753800467,1
buff0001,Auto service and maintenance,FORD,753800476,1
buff0001,Auto service and maintenance,HONDA,753800480,1
buff0001,Auto service and maintenance,HYUNDAI,753800482,1
buff0001,Auto service and maintenance,OTHERS,0,112
buff0001,Auto service and maintenance,SUZUKI,753800507,3
buff0001,Bank,ABHYUDAYA CO OPERATIVE BANK,600000308,2
buff0001,Bank,ADARSH CREDIT CO OPERATIVE SOCIETY,600000310,1
buff0001,Bank,ALLAHABAD BANK,600000312,3
buff0001,Bank,ANDHRA BANK,600000313,5
buff0001,Bank,APNA SAHAKARI BANK,600000314,1
buff0001,Bank,AXIS BANK,600000316,8
buff0001,Bank,BANDHAN BANK,600000317,1
buff0001,Bank,BANK OF BARODA,600000319,7
buff0001,Bank,BANK OF INDIA,600000320,6
buff0001,Bank,BANK OF MAHARASHTRA,600000321,9
buff0001,Bank,CANARA BANK,600000327,6
buff0001,Bank,CATHOLIC SYRIAN BANK,600000328,1
buff0001,Bank,CENTRAL BANK OF INDIA,600000329,4
buff0001,Bank,CITIBANK,600000330,2
buff0001,Bank,CORPORATION BANK,600000334,2
buff0001,Bank,COSMOS BANK,600000335,2
buff0001,Bank,DENA BANK,600000338,4
buff0001,Bank,FEDERAL BANK,600000341,2
buff0001,Bank,HDFC BANK,600000342,12
buff0001,Bank,ICICI BANK,600000344,15
buff0001,Bank,IDBI BANK,600000345,3
buff0001,Bank,IDFC FIRST BANK,600000346,1
buff0001,Bank,INDIAN BANK,600000347,6
buff0001,Bank,INDUSIND BANK,600000349,4
buff0001,Bank,JANATA SAHAKARI BANK,600000353,2
buff0001,Bank,KALLAPPANNA AWADE ICHALKARANJI JANATA SAHAKARI BANK,600000409,1
buff0001,Bank,KARNATAKA BANK,600000356,2
buff0001,Bank,KARUR VYSYA BANK,600000358,1
buff0001,Bank,KOTAK MAHINDRA BANK,600000361,7
buff0001,Bank,LAKSHMI VILAS BANK,600000363,1
buff0001,Bank,MAHANAGAR CO OPERATIVE BANK,600000365,2
buff0001,Bank,ORIENTAL BANK OF COMMERCE,600000369,1
buff0001,Bank,OTHERS,0,68
buff0001,Bank,PUNJAB NATIONAL BANK,600000375,2
buff0001,Bank,SARASWAT BANK,600000381,8
buff0001,Bank,SHAMRAO VITHAL CO-OPERATIVE BANK,600000383,1
buff0001,Bank,STATE BANK OF INDIA,600000390,14
buff0001,Bank,SYNDICATE BANK,600000391,2
buff0001,Bank,TAMILNAD MERCANTILE BANK,600000392,1
buff0001,Bank,THANE JANATA SAHAKARI BANK,600000394,4
buff0001,Bank,UCO BANK,600000401,2
buff0001,Bank,UNION BANK OF INDIA,600000402,2
buff0001,Bank,UNITED BANK OF INDIA,600000403,1
buff0001,Bank,YES BANK,600000405,4
buff0001,Bar or Pub,OTHERS,0,45
buff0001,Beauty and Salons,LAKME,200100002,1
buff0001,Beauty and Salons,OTHERS,0,116
buff0001,Book Store,CROSSWORD,999500868,1
buff0001,Book Store,JUSTBOOKS,999500871,1
buff0001,Book Store,OTHERS,0,31
buff0001,Business Facility,BAJAJ,500000066,1
buff0001,Business Facility,BIRLA SUN LIFE INSURANCE,500000072,1
buff0001,Business Facility,HDFC,500000094,1
buff0001,Business Facility,HDFC BANK,500000095,1
buff0001,Business Facility,HSBC,500000098,1
buff0001,Business Facility,LIC,500000116,3
buff0001,Business Facility,MANAPPURAM FINANCE,500000120,2
buff0001,Business Facility,MAX LIFE INSURANCE,500000122,2
buff0001,Business Facility,MUTHOOT FINANCE,500000125,1
buff0001,Business Facility,MUTHOOT FINCORP,500000126,3
buff0001,Business Facility,NATIONAL INSURANCE COMPANY,500000128,2
buff0001,Business Facility,NOKIA,500000130,1
buff0001,Business Facility,OTHERS,0,1034
buff0001,Business Facility,RELIANCE,500000137,1
buff0001,Business Facility,TATA,500000149,1
buff0001,Business Facility,WESTERN UNION,500000155,7
buff0001,Bus Station,OTHERS,0,19
buff0001,Cemetery,OTHERS,0,7
buff0001,Cinema,OTHERS,0,1
buff0001,Cinema,PVR CINEMAS,783200527,1
buff0001,City Hall,OTHERS,0,1
buff0001,Civic/Community Centre,OTHERS,0,45
buff0001,Clothing Store,ARROW,953700584,2
buff0001,Clothing Store,BLACKBERRYS,953700589,2
buff0001,Clothing Store,CAMBRIDGE,953700592,2
buff0001,Clothing Store,CANTABIL,953700593,1
buff0001,Clothing Store,FABINDIA,953700608,1
buff0001,Clothing Store,GINI AND JONY,953700616,1
buff0001,Clothing Store,GLOBUS,953700617,2
buff0001,Clothing Store,JOCKEY,953700624,3
buff0001,Clothing Store,LEE,953700630,1
buff0001,Clothing Store,LILLIPUT,953700636,1
buff0001,Clothing Store,OCTAVE,953700651,2
buff0001,Clothing Store,OTHERS,0,917
buff0001,Clothing Store,PETER ENGLAND,953700656,2
buff0001,Clothing Store,RAYMOND,953700659,3
buff0001,Clothing Store,RED TAPE,953700660,1
buff0001,Clothing Store,WILDCRAFT,953700676,1
buff0001,Clothing Store,ZODIAC,953700681,2
buff0001,Coffee Shop,CAFE COFFEE DAY,999600878,13
buff0001,Coffee Shop,COFFEE DAY,999600908,1
buff0001,Coffee Shop,MOCHA,999600890,1
buff0001,Coffee Shop,OTHERS,0,29
buff0001,Coffee Shop,STARBUCKS,999600894,1
buff0001,Commercial Poi,OFFICE SPACE,202300899,5
buff0001,Commercial Poi,SHOPS-SHOWROOMS,202300901,38
buff0001,Commuter Rail Station,OTHERS,0,1
buff0001,Consumer Electronics Store,AIRTEL,998700802,6
